date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:11	37382/37382	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Nov%202020%2019:18:54%20GMT	https://cdn.shopify.com/s/files/1/0080/9877/5107/files/Sin-titulo-1_480x480.jpg?v=1571159713	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Sin-titulo-1_480x4802fd7.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:11	44039/44039	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Nov%202020%2019:18:54%20GMT	https://cdn.shopify.com/s/files/1/0080/9877/5107/files/Premios_83d274c4-9e6d-47bb-adf6-ba79e4191851_480x480.jpg?v=1575825464	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Premios_83d274c4-9e6d-47bb-adf6-ba79e4191851_480x480f9d8.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:12	26529/26529	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Nov%202020%2012:23:01%20GMT	https://cdn.shopify.com/s/files/1/0080/9877/5107/files/Foto_2_c9fc4add-b2c0-4a91-af4c-047b330789d0_480x480.jpg?v=1566817671	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Foto_2_c9fc4add-b2c0-4a91-af4c-047b330789d0_480x480a98d.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:13	40000/40000	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Nov%202020%2019:18:54%20GMT	https://cdn.shopify.com/s/files/1/0080/9877/5107/files/Cartel_c3736c4b-0643-4883-9e8b-2109e41886e2_480x480.jpg?v=1562155369	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Cartel_c3736c4b-0643-4883-9e8b-2109e41886e2_480x480c20f.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:15	35604/35604	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Nov%202020%2004:52:10%20GMT	https://cdn.shopify.com/s/files/1/0080/9877/5107/files/Foto_Video_480x480.jpg?v=1566817380	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Foto_Video_480x480e6a4.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:23	49383/49383	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:02%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_Animales_Humanizados2_105262_17d1cc5e-80c9-4b30-9ef2-47f0cd1dd6db_1024x1024.jpg?v=1545855951	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Mural_Animales_Humanizados2_105262_17d1cc5e-80c9-4b30-9ef2-47f0cd1dd6db_1024x102434ac.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:24	33786/33786	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:04%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/48367959_2286038751632578_8139615319783112704_n_grande.jpg?v=1545854845	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/48367959_2286038751632578_8139615319783112704_n_grande3a2d.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:31	138179/138179	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:01%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Proyecto_Aguas_de_V_L_1024x1024.jpg?v=1554970212	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Proyecto_Aguas_de_V_L_1024x102448d1.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:37	132094/132094	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:03%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Sin_titulo-1_1024x1024.jpg?v=1545855625	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Sin_titulo-1_1024x1024b92b.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
15:20:39	93655/93655	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Nov%202020%2009:50:10%20GMT	http://cdn.shopify.com/s/files/1/0080/9877/5107/files/Premios_1024x1024.jpg?v=1544810960	E:/Web-Dev-Pro/Misc/Hackathon/cdn.shopify.com/s/files/1/0080/9877/5107/files/Premios_1024x10246319.jpg	(from https://vajillasbynuriablanco.com/pages/proyectos-a-medida)
